,ids,Chemistry,Physics,Signals Processing,Calculus,Electrical Engineering I,Engineering Drawing,Bioengineering I,Computer Science I,Linear Algebra,Mechanics I,Quantum Computing I,Metallurgy I,Metallurgy II,DSA,Probability and Statistics,Theory of Computation,Chemistry Lab,Mechanics Workshop,Physics Lab,Biochemistry Lab,Computer Architecture,Works of Charles Dickens,Electronics,UI Design I,Thermodynamics,Operating Systems,Machine Learning I,Works of Arthur Conan Doyle,Works of George Lucas,Works of Tolkien,Commonwealth Literature,Works of Shakespeare
31,R032,9.0,8.0,7.0,10.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,9.0,8.0,8.0,7.0,5.0,7.0,5.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,6.0,8.0,9.0,7.0,7.0,7.0,7.0
32,R033,7.0,8.0,10.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,7.0,9.0,7.0,9.0,9.0,6.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0
33,R034,9.0,9.0,10.0,9.0,8.0,6.0,9.0,8.0,10.0,7.0,7.0,9.0,8.0,6.0,10.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,9.0,9.0,9.0,6.0,8.0,7.0,7.0,7.0,7.0,9.0
34,R035,7.0,7.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0,6.0,7.0,9.0,5.0,5.0,8.0,5.0,7.0,7.0,5.0,8.0,6.0,7.0,7.0,7.0,6.0,4.0,4.0,7.0,7.0,7.0,6.0,7.0
35,R036,6.0,6.0,6.0,6.0,7.0,7.0,7.0,9.0,5.0,6.0,5.0,9.0,5.0,6.0,6.0,7.0,7.0,9.0,7.0,9.0,6.0,7.0,7.0,8.0,5.0,6.0,6.0,7.0,7.0,8.0,7.0,7.0
36,R037,8.0,8.0,9.0,7.0,6.0,8.0,9.0,9.0,9.0,8.0,6.0,9.0,7.0,7.0,9.0,7.0,9.0,7.0,7.0,9.0,5.0,7.0,8.0,7.0,8.0,5.0,8.0,7.0,7.0,7.0,7.0,7.0
37,R038,7.0,9.0,8.0,7.0,8.0,9.0,8.0,8.0,6.0,8.0,7.0,8.0,6.0,7.0,10.0,7.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,7.0,9.0,7.0,7.0,7.0,7.0,7.0
38,R039,10.0,10.0,8.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,7.0,9.0,8.0,9.0,10.0,9.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,9.0,8.0,10.0,7.0,10.0,7.0,7.0,7.0
39,R040,9.0,8.0,7.0,7.0,8.0,9.0,8.0,10.0,9.0,8.0,7.0,9.0,9.0,7.0,7.0,7.0,9.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,7.0,9.0,8.0,7.0,9.0,7.0,7.0,7.0
40,R041,7.0,6.0,9.0,8.0,6.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0,7.0,7.0,8.0,4.0,7.0,5.0,6.0,7.0,4.0,7.0,6.0,8.0,6.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0
